2016-06-04 15:27:37 status half-installed mawk:amd64 1.3.3-17
2016-06-04 15:27:38 status half-installed mawk:amd64 1.3.3-17
2016-06-04 15:27:38 status unpacked mawk:amd64 1.3.3-17
2016-06-04 15:27:38 status unpacked mawk:amd64 1.3.3-17
2016-06-04 15:27:38 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2016-06-04 15:27:38 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:38 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:38 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:39 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2016-06-04 15:27:39 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:39 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:39 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-06-04 15:27:39 install ncurses-base:all <none> 5.9+20140913-1
2016-06-04 15:27:39 status half-installed ncurses-base:all 5.9+20140913-1
2016-06-04 15:27:40 status unpacked ncurses-base:all 5.9+20140913-1
2016-06-04 15:27:40 status unpacked ncurses-base:all 5.9+20140913-1
2016-06-04 15:27:40 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2016-06-04 15:27:40 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-04 15:27:40 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-04 15:27:40 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-04 15:27:41 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:41 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:42 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:43 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-06-04 15:27:43 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-04 15:27:44 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-04 15:27:44 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-04 15:27:44 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:44 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:44 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:44 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-04 15:27:45 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2016-06-04 15:27:45 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
